M & N & K & L & Baseline(ms) & Overlapped(ms) & Speedup
19200 & 128 & 128 & 128 & 0.042277 & 0.042240 & 1.000875946969697
19328 & 128 & 128 & 128 & 0.042274 & 0.042550 & 0.9935135135135136
19456 & 128 & 128 & 128 & 0.042906 & 0.046420 & 0.9242998707453683
19584 & 128 & 128 & 128 & 0.044406 & 0.042740 & 1.0389798783341133
19712 & 128 & 128 & 128 & 0.061071 & 0.043050 & 1.4186062717770036
19840 & 128 & 128 & 128 & 0.043040 & 0.043080 & 0.999071494893222
19968 & 128 & 128 & 128 & 0.043093 & 0.043300 & 0.9952193995381062
20096 & 128 & 128 & 128 & 0.042990 & 0.043360 & 0.9914667896678966
20224 & 128 & 128 & 128 & 0.043048 & 0.043580 & 0.9877925653969711
20352 & 128 & 128 & 128 & 0.043718 & 0.043570 & 1.003396832683039
